Name,DIST,Z
SUB12,5098.721497,162
SUB12,5118.721497,162
SUB12,5138.721497,162
SUB12,5158.721497,162
SUB12,5178.721497,162
SUB12,5207.005769,162
SUB12,5235.29004,162
SUB12,5255.29004,162
SUB12,5275.29004,162
SUB12,5295.29004,162
SUB12,5315.29004,161
SUB12,5335.29004,161
SUB12,5355.29004,161
SUB12,5375.29004,161
SUB12,5395.29004,161
SUB12,5415.29004,161
SUB12,5443.574311,161
SUB12,5471.858582,161
SUB12,5500.142854,161
SUB12,5528.427125,160
SUB12,5548.427125,160
SUB12,5568.427125,160
SUB12,5588.427125,160
SUB12,5616.711396,160
SUB12,5644.995667,160
SUB12,5664.995667,160
SUB12,5693.279939,160
SUB12,5721.56421,160
SUB12,5749.848481,160
SUB12,5769.848481,160
SUB12,5798.132752,159
SUB12,5826.417024,159
SUB12,5854.701295,159
SUB12,5882.985566,159
SUB12,5911.269837,159
SUB12,5939.554109,159
SUB12,5959.554109,159
SUB12,5987.83838,159
SUB12,6016.122651,159
SUB12,6036.122651,159
SUB12,6056.122651,159
SUB12,6076.122651,159
SUB12,6096.122651,159
SUB12,6124.406922,158
SUB12,6152.691194,158
SUB12,6172.691194,158
SUB12,6192.691194,158
SUB12,6220.975465,158
SUB12,6240.975465,158
SUB12,6269.259736,158
SUB12,6289.259736,158
SUB12,6309.259736,158
SUB12,6337.544007,157
SUB12,6365.828278,157
SUB12,6385.828278,157
SUB12,6405.828278,157
SUB12,6425.828278,157
SUB12,6445.828278,157
SUB12,6465.828278,157
SUB12,6485.828278,157
SUB12,6505.828278,157
SUB12,6525.828278,157
SUB12,6554.11255,157
SUB12,6582.396821,157
SUB12,6610.681092,156
SUB12,6630.681092,156
SUB12,6650.681092,156
SUB12,6678.965363,156
SUB12,6707.249635,156
SUB12,6735.533906,156
SUB12,6755.533906,156
SUB12,6775.533906,156
SUB12,6795.533906,156
SUB12,6815.533906,156
SUB12,6835.533906,156
SUB12,6855.533906,156
SUB12,6875.533906,155
SUB12,6895.533906,155
SUB12,6923.818177,155
SUB12,6943.818177,155
SUB12,6972.102448,155
SUB12,7000.38672,155
SUB12,7028.670991,155
SUB12,7056.955262,155
SUB12,7076.955262,155
SUB12,7096.955262,155
SUB12,7116.955262,155
SUB12,7145.239533,155
SUB12,7165.239533,155
SUB12,7193.523805,154
SUB12,7221.808076,154
SUB12,7241.808076,154
SUB12,7270.092347,154
SUB12,7290.092347,154
SUB12,7310.092347,154
SUB12,7338.376618,154
SUB12,7366.66089,154
SUB12,7394.945161,154
SUB12,7423.229432,154
SUB12,7451.513703,154
SUB12,7479.797975,154
SUB12,7508.082246,154
SUB12,7536.366517,154
SUB12,7564.650788,154
SUB12,7584.650788,154
SUB12,7604.650788,153
SUB12,7624.650788,153
SUB12,7652.93506,153
SUB12,7672.93506,153
SUB12,7692.93506,153
SUB12,7721.219331,153
SUB12,7749.503602,153
SUB12,7769.503602,153
SUB12,7789.503602,153
SUB12,7817.787873,153
SUB12,7837.787873,153
SUB12,7857.787873,153
SUB12,7877.787873,153
SUB12,7897.787873,153
SUB12,7926.072145,152
SUB12,7954.356416,152
SUB12,7982.640687,152
SUB12,8002.640687,152
SUB12,8022.640687,152
SUB12,8050.924958,152
SUB12,8079.20923,152
SUB12,8107.493501,152
SUB12,8135.777772,152
SUB12,8155.777772,152
SUB12,8184.062043,152
SUB12,8212.346315,152
SUB12,8232.346315,152
SUB12,8260.630586,151
SUB12,8288.914857,151
SUB12,8317.199128,151
SUB12,8345.4834,151
SUB12,8373.767671,151
SUB12,8402.051942,151
SUB12,8430.336213,151
SUB12,8458.620485,151
SUB12,8486.904756,151
SUB12,8506.904756,151
SUB12,8535.189027,151
SUB12,8555.189027,151
SUB12,8583.473298,150
SUB12,8603.473298,150
SUB12,8631.75757,150
SUB12,8651.75757,150
SUB12,8680.041841,150
SUB12,8708.326112,150
SUB12,8736.610383,150
SUB12,8764.894655,150
SUB12,8784.894655,150
SUB12,8804.894655,150
SUB12,8824.894655,150
SUB12,8853.178926,150
SUB12,8881.463197,150
SUB12,8901.463197,150
SUB12,8929.747468,150
SUB12,8949.747468,150
SUB12,8969.747468,150
SUB12,8989.747468,150
SUB12,9009.747468,150
SUB12,9038.03174,150
SUB12,9066.316011,150
SUB12,9094.600282,149
SUB12,9122.884553,149
SUB12,9151.168825,149
SUB12,9171.168825,149
SUB12,9199.453096,149
SUB12,9219.453096,149
SUB12,9239.453096,149
SUB12,9259.453096,149
SUB12,9279.453096,149
SUB12,9307.737367,149
SUB12,9327.737367,149
SUB12,9347.737367,149
SUB12,9376.021638,149
SUB12,9404.30591,149
SUB12,9432.590181,149
SUB12,9460.874452,149
SUB12,9489.158723,149
SUB12,9517.442995,148
SUB12,9545.727266,148
SUB12,9574.011537,148
SUB12,9602.295808,148
SUB12,9630.58008,148
SUB12,9650.58008,148
SUB12,9670.58008,148
SUB12,9698.864351,148
SUB12,9718.864351,148
SUB12,9747.148622,148
SUB12,9775.432893,148
SUB12,9803.717165,148
SUB12,9832.001436,148
SUB12,9860.285707,148
SUB12,9888.569978,148
SUB12,9916.85425,148
SUB12,9945.138521,148
SUB12,9965.138521,148
SUB12,9993.422792,147
SUB12,10013.42279,147
SUB12,10033.42279,147
SUB12,10053.42279,147
